path,offset,cls,source,group,split,external,note
C:\Users\User\documents\data\positive\vektora_030.wav,0,keyword,positive,positive:block3,excluded,0,was train; user (listened): unusable - contains no useful keyword
C:\Users\User\documents\data\positive\vektora_031.wav,0,keyword,positive,positive:block3,train,0,
C:\Users\User\documents\data\positive\vektora_032.wav,0,keyword,positive,positive:block3,train,0,
C:\Users\User\documents\data\positive\vektora_033.wav,0,keyword,positive,positive:block3,train,0,
C:\Users\User\documents\data\positive\vektora_034.wav,0,keyword,positive,positive:block3,train,0,
C:\Users\User\documents\data\positive\vektora_036.wav,0,keyword,positive,positive:block3,train,0,
C:\Users\User\documents\data\positive\vektora_037.wav,0,keyword,positive,positive:block3,train,0,
C:\Users\User\documents\data\positive\vektora_038.wav,0,keyword,positive,positive:block3,train,0,
C:\Users\User\documents\data\positive\vektora_039.wav,0,keyword,positive,positive:block3,train,0,
C:\Users\User\documents\data\positive\vektora_091.wav,0,keyword,positive,positive:block9,train,0,
C:\Users\User\documents\data\positive\vektora_092.wav,0,keyword,positive,positive:block9,train,0,
C:\Users\User\documents\data\positive\vektora_093.wav,0,keyword,positive,positive:block9,train,0,
C:\Users\User\documents\data\positive\vektora_094.wav,0,keyword,positive,positive:block9,train,0,
C:\Users\User\documents\data\positive\vektora_096.wav,0,keyword,positive,positive:block9,train,0,
C:\Users\User\documents\data\positive\vektora_098.wav,0,keyword,positive,positive:block9,train,0,
C:\Users\User\documents\data\positive\vektora_099.wav,0,keyword,positive,positive:block9,train,0,
C:\Users\User\documents\data\positive\vektora_150.wav,0,keyword,positive,positive:block15,test,0,
C:\Users\User\documents\data\positive\vektora_151.wav,0,keyword,positive,positive:block15,test,0,
C:\Users\User\documents\data\positive\vektora_152.wav,0,keyword,positive,positive:block15,test,0,
C:\Users\User\documents\data\positive\vektora_153.wav,0,keyword,positive,positive:block15,test,0,
C:\Users\User\documents\data\positive\vektora_154.wav,0,keyword,positive,positive:block15,test,0,
C:\Users\User\documents\data\positive\vektora_155.wav,0,keyword,positive,positive:block15,test,0,
C:\Users\User\documents\data\positive\vektora_157.wav,0,keyword,positive,positive:block15,test,0,
C:\Users\User\documents\data\positive\vektora_158.wav,0,keyword,positive,positive:block15,test,0,
C:\Users\User\documents\data\positive\vektora_159.wav,0,keyword,positive,positive:block15,test,0,
C:\Users\User\documents\data\positive\vektora_081.wav,0,keyword,positive,positive:block8,train,0,
C:\Users\User\documents\data\positive\vektora_083.wav,0,keyword,positive,positive:block8,train,0,
C:\Users\User\documents\data\positive\vektora_084.wav,0,keyword,positive,positive:block8,train,0,
C:\Users\User\documents\data\positive\vektora_085.wav,0,keyword,positive,positive:block8,train,0,
C:\Users\User\documents\data\positive\vektora_086.wav,0,keyword,positive,positive:block8,train,0,
C:\Users\User\documents\data\positive\vektora_087.wav,0,keyword,positive,positive:block8,train,0,
C:\Users\User\documents\data\positive\vektora_088.wav,0,keyword,positive,positive:block8,train,0,
C:\Users\User\documents\data\positive\vektora_060.wav,0,keyword,positive,positive:block6,train,0,
C:\Users\User\documents\data\positive\vektora_061.wav,0,keyword,positive,positive:block6,train,0,
C:\Users\User\documents\data\positive\vektora_062.wav,0,keyword,positive,positive:block6,train,0,
C:\Users\User\documents\data\positive\vektora_066.wav,0,keyword,positive,positive:block6,train,0,
C:\Users\User\documents\data\positive\vektora_068.wav,0,keyword,positive,positive:block6,train,0,
C:\Users\User\documents\data\positive\vektora_050.wav,0,keyword,positive,positive:block5,val,0,
C:\Users\User\documents\data\positive\vektora_051.wav,0,keyword,positive,positive:block5,val,0,
C:\Users\User\documents\data\positive\vektora_052.wav,0,keyword,positive,positive:block5,val,0,
C:\Users\User\documents\data\positive\vektora_053.wav,0,keyword,positive,positive:block5,val,0,
C:\Users\User\documents\data\positive\vektora_054.wav,0,keyword,positive,positive:block5,val,0,
C:\Users\User\documents\data\positive\vektora_055.wav,0,keyword,positive,positive:block5,val,0,
C:\Users\User\documents\data\positive\vektora_056.wav,0,keyword,positive,positive:block5,val,0,
C:\Users\User\documents\data\positive\vektora_057.wav,0,keyword,positive,positive:block5,val,0,
C:\Users\User\documents\data\positive\vektora_058.wav,0,keyword,positive,positive:block5,val,0,
C:\Users\User\documents\data\positive\vektora_040.wav,0,keyword,positive,positive:block4,val,0,
C:\Users\User\documents\data\positive\vektora_041.wav,0,keyword,positive,positive:block4,val,0,
C:\Users\User\documents\data\positive\vektora_042.wav,0,keyword,positive,positive:block4,val,0,
C:\Users\User\documents\data\positive\vektora_043.wav,0,keyword,positive,positive:block4,val,0,
C:\Users\User\documents\data\positive\vektora_044.wav,0,keyword,positive,positive:block4,val,0,
C:\Users\User\documents\data\positive\vektora_045.wav,0,keyword,positive,positive:block4,val,0,
C:\Users\User\documents\data\positive\vektora_046.wav,0,keyword,positive,positive:block4,val,0,
C:\Users\User\documents\data\positive\vektora_047.wav,0,keyword,positive,positive:block4,val,0,
C:\Users\User\documents\data\positive\vektora_048.wav,0,keyword,positive,positive:block4,val,0,
C:\Users\User\documents\data\positive\vektora_004.wav,0,keyword,positive,positive:block0,train,0,
C:\Users\User\documents\data\positive\vektora_005.wav,0,keyword,positive,positive:block0,train,0,
C:\Users\User\documents\data\positive\vektora_006.wav,0,keyword,positive,positive:block0,train,0,
C:\Users\User\documents\data\positive\vektora_007.wav,0,keyword,positive,positive:block0,train,0,
C:\Users\User\documents\data\positive\vektora_008.wav,0,keyword,positive,positive:block0,train,0,
C:\Users\User\documents\data\positive\vektora_009.wav,0,keyword,positive,positive:block0,train,0,
C:\Users\User\documents\data\positive\vektora_1.wav,0,keyword,positive,positive:block0,train,0,
C:\Users\User\documents\data\positive\vektora_190.wav,0,keyword,positive,positive:block19,train,0,
C:\Users\User\documents\data\positive\vektora_140.wav,0,keyword,positive,positive:block14,train,0,
C:\Users\User\documents\data\positive\vektora_141.wav,0,keyword,positive,positive:block14,train,0,
C:\Users\User\documents\data\positive\vektora_142.wav,0,keyword,positive,positive:block14,train,0,
C:\Users\User\documents\data\positive\vektora_143.wav,0,keyword,positive,positive:block14,train,0,
C:\Users\User\documents\data\positive\vektora_144.wav,0,keyword,positive,positive:block14,train,0,
C:\Users\User\documents\data\positive\vektora_145.wav,0,keyword,positive,positive:block14,train,0,
C:\Users\User\documents\data\positive\vektora_147.wav,0,keyword,positive,positive:block14,train,0,
C:\Users\User\documents\data\positive\vektora_148.wav,0,keyword,positive,positive:block14,train,0,
C:\Users\User\documents\data\positive\vektora_149.wav,0,keyword,positive,positive:block14,train,0,
C:\Users\User\documents\data\positive\vektora_130.wav,0,keyword,positive,positive:block13,train,0,
C:\Users\User\documents\data\positive\vektora_131.wav,0,keyword,positive,positive:block13,train,0,
C:\Users\User\documents\data\positive\vektora_132.wav,0,keyword,positive,positive:block13,train,0,
C:\Users\User\documents\data\positive\vektora_133.wav,0,keyword,positive,positive:block13,train,0,
C:\Users\User\documents\data\positive\vektora_134.wav,0,keyword,positive,positive:block13,train,0,
C:\Users\User\documents\data\positive\vektora_136.wav,0,keyword,positive,positive:block13,train,0,
C:\Users\User\documents\data\positive\vektora_137.wav,0,keyword,positive,positive:block13,train,0,
C:\Users\User\documents\data\positive\vektora_138.wav,0,keyword,positive,positive:block13,train,0,
C:\Users\User\documents\data\positive\vektora_139.wav,0,keyword,positive,positive:block13,train,0,
C:\Users\User\documents\data\positive\vektora_010.wav,0,keyword,positive,positive:block1,train,0,
C:\Users\User\documents\data\positive\vektora_011.wav,0,keyword,positive,positive:block1,train,0,
C:\Users\User\documents\data\positive\vektora_012.wav,0,keyword,positive,positive:block1,train,0,
C:\Users\User\documents\data\positive\vektora_013.wav,0,keyword,positive,positive:block1,train,0,
C:\Users\User\documents\data\positive\vektora_014.wav,0,keyword,positive,positive:block1,train,0,
C:\Users\User\documents\data\positive\vektora_015.wav,0,keyword,positive,positive:block1,train,0,
C:\Users\User\documents\data\positive\vektora_016.wav,0,keyword,positive,positive:block1,train,0,
C:\Users\User\documents\data\positive\vektora_017.wav,0,keyword,positive,positive:block1,train,0,
C:\Users\User\documents\data\positive\vektora_019.wav,0,keyword,positive,positive:block1,excluded,0,was train; user (listened): audibly chopped (4 interior exact-zero gaps up to 197 ms)
C:\Users\User\documents\data\positive\vektora_120.wav,0,keyword,positive,positive:block12,train,0,
C:\Users\User\documents\data\positive\vektora_121.wav,0,keyword,positive,positive:block12,train,0,
C:\Users\User\documents\data\positive\vektora_122.wav,0,keyword,positive,positive:block12,train,0,
C:\Users\User\documents\data\positive\vektora_123.wav,0,keyword,positive,positive:block12,train,0,
C:\Users\User\documents\data\positive\vektora_124.wav,0,keyword,positive,positive:block12,train,0,
C:\Users\User\documents\data\positive\vektora_125.wav,0,keyword,positive,positive:block12,train,0,
C:\Users\User\documents\data\positive\vektora_126.wav,0,keyword,positive,positive:block12,train,0,
C:\Users\User\documents\data\positive\vektora_127.wav,0,keyword,positive,positive:block12,train,0,
C:\Users\User\documents\data\positive\vektora_128.wav,0,keyword,positive,positive:block12,train,0,
C:\Users\User\documents\data\positive\vektora_129.wav,0,keyword,positive,positive:block12,train,0,
C:\Users\User\documents\data\positive\vektora_170.wav,0,keyword,positive,positive:block17,val,0,
C:\Users\User\documents\data\positive\vektora_172.wav,0,keyword,positive,positive:block17,val,0,
C:\Users\User\documents\data\positive\vektora_173.wav,0,keyword,positive,positive:block17,val,0,
C:\Users\User\documents\data\positive\vektora_174.wav,0,keyword,positive,positive:block17,val,0,
C:\Users\User\documents\data\positive\vektora_175.wav,0,keyword,positive,positive:block17,val,0,
C:\Users\User\documents\data\positive\vektora_176.wav,0,keyword,positive,positive:block17,val,0,
C:\Users\User\documents\data\positive\vektora_177.wav,0,keyword,positive,positive:block17,val,0,
C:\Users\User\documents\data\positive\vektora_179.wav,0,keyword,positive,positive:block17,val,0,
C:\Users\User\documents\data\positive\vektora_111.wav,0,keyword,positive,positive:block11,train,0,
C:\Users\User\documents\data\positive\vektora_113.wav,0,keyword,positive,positive:block11,train,0,
C:\Users\User\documents\data\positive\vektora_116.wav,0,keyword,positive,positive:block11,train,0,
C:\Users\User\documents\data\positive\vektora_118.wav,0,keyword,positive,positive:block11,train,0,
C:\Users\User\documents\data\positive\vektora_119.wav,0,keyword,positive,positive:block11,train,0,
C:\Users\User\documents\data\positive\vektora_180.wav,0,keyword,positive,positive:block18,test,0,
